Id,Term,Meaning
72,Independent Safety Assessment,Process to determine whether the system/product meet the specified safety requirements and to form a judgment as to whether the system/product is fit for its intended purpose in relation to safety.
73,Indication Locking,The signalled route can be released only after concerned signal is put back to danger after passage of train beyond the signal or route for signal has been cancelled in addition to other conditions. Such locking on points is known as Indication locking on signals. (Note:- The signals are operated by control cum indication panel or VDU control terminal. The point indication relay picks up only after the correspondence between point operation command relay picked up in the relay room and point position at site is satisfied. This locking is known as Indication locking on point).
74,Interlocking,"Means an arrangement of signals, points and other appliances, operated from a panel or lever frame, so interconnected by mechanical locking or electrical locking or both that their operation must take place in proper sequence to ensure safety."
75,Intermediate Block Post,"It is a class `C' station on a single line, double line or multiple line remotely controlled from the block station in rear."
76,Intermediate Block Signalling (IBS),"Means an arrangement of Signalling on single line, double line, in which a long block section is split into two portions each constituting a separate block section of a block section by providing an Intermediate Block Post."
77,Intermediate Siding/ Outlying Siding,Siding line taking off from running line and located in the block section.
78,INDIAN RAILWAY STANDARD (IRS),A set of Standards applicable to Railway specific Equipments/Technologies.
79,Isolation,"Means an arrangement, secured by the setting of points or other approved means, to protect the line so isolated from the danger of obstruction from other connected line or lines."
80,Last Stop Signal (LSS),Means the fixed Stop Signal of a station controlling the entry of trains into the next block section.
81,Level Crossing,It is an intersection of road with railway track at the same level.
82,Level Crossing Gate (LC Gate),"Means any form of movable barrier, including a chain, capable of being closed across the road at the level crossing but does not include a wicket or a turnstile for the use of pedestrians."
83,Life Cycle,"Series of identified stages through which all items go, from its conception to disposal."
84,Limit Of Authority,The place beyond which the train has no information but to which the train is authorised to run with a defined target speed higher than zero. The train is expected to receive new information before passing the limit of authority.
85,Line Capacity,The maximum number of trains that can be run on any given Line during a calendar day of 24 hours.
86,Line Clear,Means the permission given from a block station to a block station in rear for a train to leave the latter and approach the former; or the permission obtained by a block station from a block station in advance for a train to leave the former and proceed t
87,Line Verification Box (LV Box),"It is a device consisting of a key actuated push button switch, which is placed close to required track section (Usually a point zone or Line in station section) whose physical clearance of any vehicles is to be verified at site."
88,Loco Pilot,Means the Loco Pilot/Assistant Loco Pilot/Shunter/Motor man or any other competent railway servant of the time being in charge of driving a train.
89,Main Line,Means the line ordinarily used for through running trains at a station and between stations.
90,Main Signal /Running Signal,The Signal governing the movement of a running train. (Not a shunt movement)
91,Maintainability,"Ability to be retained in, or restored to, a state to perform as required, under given conditions of use and maintenance."
92,Material Train,"Means a departmental train intended solely or mainly for carriage of railway material when picked up or put down or for execution of works, either between stations or within station limits."
93,Mixed Train,"Means a train intended for the carriage of passengers and goods, or of passengers, animals and goods."
94,Most Restricted Speed Profile,The speed which a train must not exceed. It is the lowest speed taking into account all the various speed profiles.
95,Movement Authority (MA),Safe distance of travel communicated by the Automatic Train Protection System.
96,Moving Block,"Considering the need for higher order of safety, as well due to the presence of halts at frequent intervals of even less than a KM length, Primarily the train detection is done by communication, based on the train location, the movement of authority is to be updated which is known as a moving block, which include a safety envelope behind and in front of a train, always moving along with the train."
97,Multi Section Digital Axle Counter (MSDAC),Multi Section Digital Axle Counter is a Digital Axle Counter used to monitor more than single track section either at Stations or in Block sections.
98,Multiple Aspect Signalling (MACLS),Means a Signalling arrangement in which signals display at any one time any one of the three or more aspects and in which the aspect of every signal is pre-warned by the aspect of the previous signal or signals.
99,Neutral Section,A short section of Insulated Dead over-head equipment which separates the sectors fed by two adjacent substations which are connected to different phases. (Ref: ACTM Vol-II Annexure �I.2.12 & 16.0) Note: It has no power supply to drive Electric locomotive engine.
100,Night,Means from sunset to sunrise.
101,Obstruction,"It`s cognate expressions includes a train, vehicle or obstacle on or fouling a line, or any condition which is dangerous to trains."
102,Off Position,Means any position other than the `ON' position of a signal.
103,On Position,Means the most restrictive position of a signal.
104,On-Board Equipment (OBE),"The part (software and/or hardware) of the ATP system located in Locomotive, which fulfills the approved ATP specification."
105,Overhead Equipment (OHE),"Means the electrical conductors over the tracks together with their associated fittings, insulators and other attachments by means of which they are suspended and registered in position for the purpose of electric traction."
106,Passenger Train,"Means a train intended solely or mainly for the carriage of passengers and other coaching traffic, and includes a troop train."
107,Permitted Speed,The speed limit at which a train is allowed to proceed without warning and/or intervention from the onboard equipment.
108,Point And Trap Indicators,"Are not signals, but are appliances fitted to and working with points to indicate by day or by night the position in which the points are set."
109,Position Light Signal,A fixed signal in which the indications are given by the position of two or more lights.
110,Preventive Maintenance,Maintenance to carry out to mitigate degradation and reduce the probability of failure.
111,RAM Plan,"Documented set of time scheduled activities, resources and events serving to implement the organizational structure, responsibilities, procedures, activities, capabilities and resources that together ensure that an item will satisfy RAM requirements relevant."
112,Rear Section,The Section between LSS and IB Signal (including 400 meters of overlap).
113,Reference Location,A location on the track (e.g. balise group reference location or RFID tag location) used as a reference for the information sent from trackside or for the train position.
114,Relay,"An electromagnetic device, which is used to convey information from one circuit to another circuit through a set of contact i.e. front or back contact."
115,Release Speed,A speed value to allow a train to approach the end of its movement authority.
116,Reliability,"Ability to perform as required, without failure for a given time interval, under given conditions."
117,Required Distance,Minimum distance between two points duly taking gradients into consideration to ensure functionality & safety.
118,Reset-Hard,Hard Reset is a type of reset which when applied will directly reset the failed Axle counter system. It is not to be applied in a working Station/Section.
119,Reset Cooperative,A type of reset (applied on a failed axle counter system) by due Co-operation between two Operating Staff/Station Masters or One Station Master & Another Operating staff at site after ensuring laid down conditions - such as arrival of last vehicle or clearance of the track section (using line verification box after physical verification of Failed Track section). The axle counter will show �clear� after application of this type of reset.
120,Reset - Conditional,A type of reset (applied on a failed axle counter system) by due Co-operation between two Operating Staff/Station Masters or One Station Master & Another Operating staff at site after ensuring laid down conditions - such as arrival of last vehicle or clearance of the track section (using line verification box after physical verification of Failed Track section). The axle counter will show �clear� after application of this type of reset.
121,Reset Preparatory,"After application of this type of resetting, axle counter will continue to show Occupied until one train movement is carried out through the failed section and In Count is matched with Out Count."
122,Supervisory Track Section & Reset,"A section of track between two Detection Points completely covering more than one track section and is used to automatically reset failed Track sections under its jurisdiction, when it is safe to do so without manual intervention. This is also called Auto-Reset."
123,Risk,Combination of expected frequency of loss and the expected degree of severity of that loss.
124,Running Line,"Means the line governed by one or more signals and includes connections, if any, used by a train when entering or leaving a station or when passing through a station or between stations."
125,Running Train,"Means a train, which has started under an authority to proceed and has not completed its journey."
126,Rusty Rail,"It is a Rail which has developed rust formation on its surface and does not cause De Energisation of Track relay as required, when a Train/Light Engine/Motor Trolley is occupying it, thus causing an unsafe side failure."
127,Safety,Freedom from unacceptable risk.
128,Safety Assurance,Positive declaration intended to give confidence that Risk Process and behaviors are being managed to acceptable levels through appropriate measures.
129,Safety Case,"Documented demonstration that the product (eg. a system, subsystem or equipment) complies with the specified safety requirements."
130,Safety Function,Function whose sole purpose is to ensure safety.
131,Safety Integrity,Ability of a safety related system to achieve its required safety functions under all the stated conditions within a stated operational environment and within a stated duration.
132,Safety Integrity Level,One of a number of defined discrete levels for specifying the Safety Integrity requirements for safety related functions to be allocated to the safety related systems.
133,Safety Plan,"Documented set of time scheduled activities, resources and events serving to implement the organizations, responsibilities, procedures, activities, capabilities and resources that together ensure that an item will satisfy given safety requirements of relevant."
134,Safety Related Systems,"A system is safety related if its failure can cause harm to life and property eg. Interlocking System, ATP or carries responsibility for safety."
135,Site Acceptance Test (SAT),"A type of Testing done to check whether Software logics & Hardware of Equipment are responding in accordance with given Control Tables. This is done duly connecting Equipment Hardware with Interface wiring in Relay Room and simulating outdoor signals, Points, Track circuit."
136,Section Capacity,The maximum number of trains that can be dealt on a given section of Railway during the period of twenty four hours.
137,Sectional Route Release (SRR),Route releasing designed to release sequentially usually one track section at a time behind the train on it`s passage.
138,Semaphore Signal,A signal in which the day indications are given by the position of a semaphore arm.
139,Service Brake/ Normal Brake,It is the brake command which reduces the Brake Pipe pressure to 1.5 Kg/Cm2.
140,Shunting,"Means the movement of a vehicle or vehicles with or without an engine or of any engine or any other self-propelled vehicle for the purpose of attaching, detaching or transfer or for any other purpose."
141,Sighting,The distance over which the most restrictive aspect of a signal is visible from the driving
142,Distance,compartment of an approaching train under normal conditions of visibility.
143,Signal Overlap,"Adequate distance in advance of a stop signal, which should be kept clear before the signal in rear can be taken 'OFF'."
144,Single Section Digital Axial Counter (SSDAC),Single Section Digital Axle Counter is generally used to monitor single track section.
145,SPAD,"Means Signal Passing At Danger. It is an alarming event, in which a speeding train overshoots a Stop/Shunt signal displaying a Stop aspect, and can cause a potential risk of accident to itself and other trains."
146,Special Instructions,Means instructions issued from time to time by the authorized officer on a case to case basis.
147,Specially Permitted,Lawful approval for a special Case exception.
148,Static Speed Profile,"The description of the fixed speed restrictions of a given line. The speed restrictions can be related to items such as maximum line speed, gradients, curves, points, tunnel profiles, bridges etc."
149,Station,"Means any place on a line of Railway at which traffic is dealt with, or at which an authority to proceed is given under the system of working."
150,Station Limits,"Means the portion of a railway, which is under the control of a Station Master and is situated between the outermost signals of the station or as may be specified by special instructions."
151,Station Master,"Means the person on duty who is for the time being responsible for the working of the traffic within station limits, and includes any person who is for the time being in independent charge of the working of any signals and responsible for the working of them."
152,Station Section,"Means that section of station limits, Where shunting is permitted even after granting Line clear."
153,Subsidiary Rule,"Means a special instruction, which is subservient to the General Rule to which it relates and shall not be at variance with any General Rule."
154,Sufficient Distance,A reasonable distance to be provided if there is no site constraints. It is more than Required Distance.
155,System Assurance,"Is an analytical branch of engineering technology about ensuring high values of confidence, reliability, availability, maintainability and safety of complex engineering systems. System Assurance = RAM Assurance + Safety Assurance."
156,System of Working,Means the system adopted for the time being for the working of trains on any portion of a railway.
157,Target,Location where the train speed should be below the given target speed.
158,Tolerable Hazard Rate,A hazard rate which guarantees that resulting risk does not exceed a target individual risk.
159,Track Description Data,Information containing static speed profile and gradient profile which complements the Movement Authority.
160,Track Side Equipment,The equipment with the aim of exchanging information with the vehicle for safely supervising train movement. The information exchanged between track and trains can be either continuous or intermittent according to the ATP level and to the nature of it.
161,Train Detection,"Means an electrical circuit provided to detect the presence of a vehicle on a portion of track. It`s purpose is to detect the presence or absence of train on a defined section. (Note: DC track circuits, AFTC track circuits, Axle Counters are used for this purpose)"
162,Train Examiner,Means a railway servant duly qualified to examine trains and certify their fitness for safe running and includes and their railway servant who may for the time being be performing the duties of Train Examiner.
163,Train Integrity,The level of belief in the train being complete and not having left coaches or wagons behind.
164,Train Interface Unit,"The unit, inside the on-board equipment, that provides the interface between the on-board equipment of ATP and the train."
165,Trap Siding,Has Points leading to a short dead end and used solely for the purpose of trapping the running line or sidings. This shall also be treated as derailing switch.
166,Track Locking,"An electric lock on a point mechanism and/or on its connections, effective when a train occupies a given track circuit, to prevent movement of points under the wheel."
167,Two-Aspect Signalling,"It is a type of Signalling, in which a signal can show only two aspects i.e Stop/Proceed for Stop Signals and Caution/Proceed for Permissive Signals. No pre-warning of aspect of next signal in advance is possible."
168,Universal Failsafe Block Interface (UFSBI),Universal Fail Safe Block Interface (UFSBI) is an Equipment used in Block working.
169,Validation,"Confirmation, through the provision of objective evidence that the requirement for a specific intended use or applications have been fulfilled."
170,Verification,Confirmation through the provision of objective evidence that specified requirements have been fulfilled.
171,Video Display Unit (VDU),"It is display device cum controlling device. Used in Electronic Interlocking to operate Signals & Points, Crank Handles etc and also for getting display of Field status of them."
172,Warning,Audible and/or visual indication to alert the driver to a condition which requires a positive action by the Loco Pilot.
173,ABS,Automatic Block Signalling
174,ACD,Anti-Collision Device
175,ADAM,ARTS Data Manager (system for managing EPROMs and station configuration cartridges for ARTS)
176,AE,Automatic Emergency or Auto-Emergency (type of brake system)
177,AFTC,Audio Frequency Track Circuiting
178,ATC,Automated Train Control
179,ATP,Automatic Train Protection
180,ATS,Automatic Train Stop
181,AVB,Automatic Vacuum Brake
182,BPC,Brake Power Certificate (issued before train departure)
183,BS,Braking in Series configuration
184,BSL,Block Section Limit
185,BSP,Braking in Series-Parallel configuration
186,CDO,Coaching Depot
187,CLS,Colour-light signalling
188,COCR,Confirmatory Oscillograph Car Run
189,COFC,Container on flat car
190,CTC,Centralised Traffic Control
191,CTR,Complete Track Renewal
192,CWR,Continuous Welded Rail (0.5km and longer sections of welded rail)
193,DAC,Digital Axle Counter
194,DBFO,Design-Build-Finance-Operate (a scheme for private parties to build and run railway lines with IR's help)
195,DJ,"From the French disjoncteur, the main circuit breaker of an electric loco (usually pneumatically operated, roof-mounted)"
196,DLBI,Double Line Block Instrument
197,DEMU,Diesel-Electric Multiple Unit
198,DETC,Diesel-Electric Tower Car
199,DHMU,Diesel Hydraulic Multiple Unit (hydraulic transmission DMU)
200,DMH,Dead Man's Handle (on EMUs)
201,DMU,Diesel Multiple Unit
202,DPC,Driving Power Car
203,DS,"Disconnecting Switch (to switch off OHE power to loco circuits, usually manual)"
204,DSC,Dual-Stacked Container service (or Double-Stacked Container)
205,DTC,Driving Trailer Car (unpowered driving car in EMU rake)
206,DW,Double wire (of semaphore signals)
207,EA,Extra (time) Allowed (make-up time noted in working time-tables)
208,ELCM,Electronic Load Control Module (governor for DEMUs and other diesels).
209,EMU,Electric Multiple Unit
210,EOG,End-On Generator Car
211,ETCS,European Train Control System
212,EY,Empty (notation for empty rake in real-time train information systems)
213,FEDL,Fully Electrified Double Line
214,FM,Fouling Mark
215,FMVFT,Frequency-modulated Voice-frequency Telegraph (used for control communications by signals / electric traction / traffic control staff)
216,FOR,Forward motion (position of master controller in loco)
217,FP,Fouling Point; also Feed Pipe (at couplings of vehicles)
218,GTO,Gate Turn-Off thyristor
219,HEP,Head-end Power (power from the loco for the coaches)
220,HFTC,High-Frequency Track Circuit
221,HOBC,High-Output Ballast Cleaner
222,HOG,Head-On Generator
223,HHPDMU,High-Horsepower Diesel Electric Multiple Unit
224,HPDMU,High-powered Diesel Multiple Unit
225,HSCB,High-speed Circuit Breaker
226,HT,High Tension
227,HTCBC,High Tensile-strength Centre-Buffer Coupler
228,HTS,High Tensile-strength Steel
229,IGBT,Insulated Gate Bipolar Transistor
230,JRI,Junction Route Indicator
231,LOB,Lube Oil Balance
232,LTPDS,Live Train Position Display System
233,LVC,Last Vehicle Check (automated detection of rake integrity)
234,LWR,Long Welded Rail (5-15 rails welded together in a section)
235,"MACL, MACLS",Multiple-Aspect Colour-Light signalling
236,MCB,Master Circuit Breaker (in locos)
237,MCI,Malleable Cast Iron
238,MEMU,Main-line Electric Multiple Unit
239,MLRI,Multi-Lamp Route Indicator
240,MNI,Modified Non-Interlocked (in working timetables)
241,MOG,Mid-On Generator Car
242,MOT,Motoring (position of master controller in loco)
243,NBT,Neale's Ball Token
244,NI,Non-Interlocked (in working timetables)
245,NTES,National Train Enquiry System
246,NX,eNtrance-eXit (interlocking panels)
247,OCV,"Other Coaching Vehicle - non-passenger coaches, e.g., pantry cars."
248,OFC,Optical Fibre Cable
249,OHE,Overhead Equipment (or foreman for same)
250,OMS,Oscillation Monitoring System
251,PCS,Pneumatic Control System (loco shut-off/idling control which takes effect on application of emergency brakes)
252,PCV,"Passenger Carrying Vehicle (regular passenger coaches, as distinct from OCV - restaurant cars, mail cars, etc.)"
253,PI,Panel Interlocking
254,POET,Passenger Operated Enquiry Terminal
255,RCC,"Remote Control Centre (for electric traction) Also, Reinforced Cement Concrete (Also see below in Miscellaneous)"
256,REV,"Reverse motion (position of master controller in loco), Reverser"
257,ROSHAN,Rolling Stock Health Analyst (accelerometers and other equipment that monitor coach movement and report deviations from normal behaviour).
258,RPC,Resistance Power Control (or Compartment) (in EMU power cars)
259,SCADA,Supervisory Control and Data Acquisition (monitoring and control system for remote control of electric traction systems)
260,SE,Superelevation (of curved track)
261,S/L,Shunting Limit
262,SLBI,Single Line Block Instrument
263,SOD,Schedule of Dimensions
264,SPAD,Signal Passed At Danger
265,SPTM,Self-Printing Ticket Machine
266,SSDAC,Solid State Digital Axle Counter
267,SSI,Solid State Interlocking
268,STR,Schedule of Technical Requirements
269,STRI,Stencil type Route Indicator
270,SW,Single wire (of semaphore signals)
271,SWR,Short Welded Rail (2-4 rails welded together in a section)
272,SWR,Station Working Rules
273,TAB,Train Air Brake
274,TALQ,Two-Aspect Lower Quadrant
275,TAWD,Train Actuated Warning Device
276,TBTR,Through Bridge Timber Renewal
277,TFR,Through Fitting Renewal
278,TLC,Traction Locomotive Controller
279,TM,Traction Motor
280,TMS,Train Management System (train monitoring used in Bombay suburban sections)
281,TOFC,Trailer on flat car
282,T/out,Turnout
283,TPC,Traction Power Controller
284,TRC,Track Recording Car
285,TRO,Traction Rolling-stock Operations
286,TRR,Through Rail Renewal
287,TRT,Traffic Recovery Time (a kind of make-up time allotment in working timetable)
288,TSS,Traction Sub-Station
289,TSR,Through Sleeper Renewal
290,TTR,Through Turnout Renewal
291,TWR,Through Weld Renewal
292,UPF,Unity Power Factor
293,USFD,Ultrasonic Flaw Detection
294,VCC,Vacuum Continuity Certificate (issued before train departure)
295,VCB,Vacuum Circuit Breaker
296,VRP,Voltage Regulating Panel
297,WF,Weak Field
298,WILD,Wheel Impact Load Detector
299,WSR,Wheel Slip Relay
300,AC,Air-Conditioned
301,ACC,Air-Conditioned coach or class
302,ACCC,Air-Conditioned Chair Car
303,ACP,Alarm Chain Pulling (!)
304,"ADE, ADEN",Assistant Divisional Engineer
305,ADEE,Assistant Divisional Electrical Engineer
306,ADME,Assistant Divisional Mechanical Engineer
307,"AE, AEN",Assistant Engineer (see also Technical terms above)
308,AEC,Accident Enquiry Committee
309,ALK,Allowance in Lieu of Kilometrage (in calculating payments for drivers)
310,ARMV,Accident Relief Medical Van
311,ART,Accident Relief Train
312,ARTS,Advanced Railway Ticketing System
313,ASM,Assistant Station Master
314,AW,Auxiliary Watering (in working timetables)
315,AWS,Auxiliary Warning System
316,BESA,British Engineering Standards Association
317,BG,Broad Gauge
318,BIO-TOIL,'Biological Toilet' - eco-friendly toilet with bacterial decomposition facility developed by ICF for use on railway coaches.
319,B/L,Branch Line
320,BOLT,Build-Own-Lease-Transfer: private ownership/operation scheme for various freight & passenger services and infrastructure.
321,BPS,Blue Parcel Service
322,CA&FO,Chief Accounting and Finance Officer
323,CARS,Central Accounting and Reporting System (consolidated reports of ARTS ticketing during the day)
324,CBO,City Booking Office
325,CC,Chair Car
326,CCS,Chief Commercial Superintendent
327,CCTV,Closed-Circuit TV
328,CFTS,Chief Freight Traffic Superintendent
329,CFS,Container Freight Station
330,CHA,Custom House Agent
331,COIS,Coaching Operations Information System
332,Conc.,Concessional fare (annotation on ticket)
333,CARTRAC,(not really an acronym) CONCOR's automobile transport service
334,CONCERT,COuntrywide Network of Computerised Enhanced Reservation and Ticketing
335,CONTRACK,(not really an acronym) CONCOR's container freight service
336,COW,"Career On Wheels: informal classrooms for teaching English, etc., on board trains"
337,CRS,"Chief Reservations Supervisor, Computerised Reservation System Commissioner of Rail Safety"
338,CT,Control Tower
339,CTI,Central Training Institute
340,CTR,Combined Train Report
341,CTU,Centralized Training Unit
342,CVM,Coupon Validating Machine (for ticketing with prepaid coupons)
343,C&W,"Carriage & Wagon (staff for plumbing, electricals, amenities)"
344,CW,Carriage Watering facilities (in working timetables)
345,DAL,"Delhi Avoiding Line, a route for goods trains to avoid the central New Delhi area."
346,DCT,Domestic Container Terminal (as opposed to the ones equipped for international freight)
347,DEE,Divisional Electrical Engineer (Sr. DEE = Senior Divisional Electrical Engineer)
348,DF,Development Fund
349,DFC,Dedicated Freight Corridor
350,DF,Defence quota
351,DME,Divisional Mechanical Engineer
352,DP,Duty Pass
353,DRF,Depreciation Reserve Fund
354,DRM,Divisional Railway Manager
355,DRUCC,Divisional (or District) Rail Users Consultative Committee
356,DSC,Dual-stacked (or double-stacked) containers
357,E/A,Extra time Allowed (slack in train's schedule for a section)
358,EC or ECC,Executive Chair Car
359,ECR,Empty Coaching Rake
360,EFC,Eastern Freight Corridor
361,EQ,Emergency Quota
362,ESCAP,Economic and Social Commission for Asia and the Pacific
363,ESM,Electronic Signal Maintainer
364,ETA,Estimated Time of Arrival
365,EY,Empty rake (on train monitoring systems)
